"Campaign","Category","Sub-Category","Backers","Pledged","Goal","Outcome","Country","Campaign Length","Campaign Bucket"
"Volcanic impulse - flashlight for all occasions","Design","Product Design",0,"0","570","suspended","US",60,"Long"
"My Knife, Your tool for life","Design","Product Design",17,"2557","50000","failed","US",30,"Medium"
"A web browser dedicated to your healthcare","Technology","Software",7,"122","5000","failed","US",30,"Medium"
"THE MANNY - TV Comedy Pilot","Film & Video","Comedy",344,"39764","35000","successful","US",45,"Long"
"Handcrafted sculptures for home and garden","Art","Sculpture",0,"0","2886","failed","DE",50,"Long"
"Be.e - The BioScooter","Technology","Hardware",13,"7461","214925","failed","NL",30,"Medium"
"Help Brie record her EP and be an opening act on Urock tour!","Music","Music",57,"5096","5000","successful","US",16,"Medium"
"Keep Kemistry Alive!","Design","Graphic Design",587,"32202","29646","successful","GB",53,"Long"
"Power Our Tiger Research Cams","Photography","Photography",23,"545","175","successful","US",32,"Long"
"VentureTopia - Open-World RPG Game!","Games","Video Games",10,"115","231","failed","NL",30,"Medium"
"What's Good, Fresno? Season 1","Film & Video","Webseries",2,"2","2500","failed","US",30,"Medium"
"The American Way, One Postcard at a Time... (Canceled)","Publishing","Publishing",0,"0","40","canceled","US",25,"Medium"
"A South African teashop...coming soon to Seattle.","Food","Food",90,"10405","10000","successful","US",33,"Long"
"The Rolling Pilot Documentary","Film & Video","Documentary",298,"30756","30000","successful","US",30,"Medium"
"CPIPP & Palisades Beautiful - A Community Visioning Workshop","Design","Design",25,"6085","5500","successful","US",31,"Long"
"by simply me: SPRING 2014. a dreamer collection.","Fashion","Fashion",0,"0","30000","failed","US",60,"Long"
"HAND HORNS:  spirit, refined.","Design","Product Design",95,"4737","4700","successful","US",30,"Medium"
"TROISIQUE, Where Fashion Meets Destruction (Canceled)","Film & Video","Shorts",5,"250","20000","canceled","US",60,"Long"
"Help Reba Hasko record Third Album at Honey Jar in Brooklyn!","Music","Indie Rock",114,"9333","9230","successful","US",30,"Medium"
"Julius Caesar in Ariminum - Rimini ITALY","Publishing","Nonfiction",14,"588","42201","failed","IT",30,"Medium"
"Last Good Tooth Requests Your Assistance","Music","Country & Folk",73,"5170","5000","successful","US",30,"Medium"
"Lovefield Way Garden & Arts","Food","Farms",28,"2030","2000","successful","US",30,"Medium"
"Sonic Gardener","Food","Community Gardens",0,"0","150000","failed","US",30,"Medium"
"Injury Comics #4","Comics","Comics",87,"1701","1250","successful","US",43,"Long"
"Dress my dreams - by Crazy Dreams Factory","Fashion","Fashion",0,"0","5727","failed","BE",31,"Long"
"The Story I Have To Tell  The Road To San Francisco","Publishing","Nonfiction",7,"56","2000","failed","US",35,"Long"
"CRUSH IT  The Steins Story","Film & Video","Documentary",74,"15858","14275","successful","US",30,"Medium"
"EAT the SHADOW - An Original Graphic Novel","Comics","Graphic Novels",40,"2231","5000","failed","US",25,"Medium"
"Gardens for Food Shelves = Training for Urban Farmers","Food","Food",157,"9145","8900","successful","US",30,"Medium"
"Street Wars NYC: 1970's Street Gang Miniatures Game","Games","Tabletop Games",88,"8549","8282","successful","GB",36,"Long"
"Codex Interactivus - Bringing Leonardo To Life!","Publishing","Nonfiction",39,"1455","12000","failed","US",30,"Medium"
"Mexico Creates TALE&TINO: Mexican spirit to take with you","Design","Product Design",3,"2","223","canceled","MX",90,"Long"
"Alpha Zoo mobile app | Unlock 26 alphabet-loving beasties!","Technology","Apps",142,"10856","10123","successful","GB",45,"Long"
"6x6 - The Art Version of a Music Festival","Art","Art",219,"10241","10000","successful","US",31,"Long"
"Newborne County","Film & Video","Narrative Film",63,"4783","15000","failed","US",60,"Long"
"The Other Half of the Sky","Publishing","Fiction",33,"3154","2783","successful","US",28,"Medium"
"Laser Cutter for Makerspace in Inner-City STEM School","Technology","Makerspaces",3,"201","24000","failed","US",60,"Long"
"I-60's First Worship Album- My Days are Yours","Music","Indie Rock",4,"110","3000","failed","US",30,"Medium"
"Create Next Generation Solar Window Candle Inventory for HSN","Technology","Gadgets",0,"0","7000","failed","US",31,"Long"
"Books on the scarf, quotes on the bag, literary umbrellas","Fashion","Accessories",23,"726","14599","failed","US",28,"Medium"
"The Fairy Godmother Needs YOU","Fashion","Fashion",10,"325","15000","failed","US",23,"Medium"
"You Must Be Tripping","Publishing","Nonfiction",1,"500","50000","failed","US",60,"Long"
"Learn from ICARUS and fly safer!","Technology","Flight",36,"10518","10000","successful","US",15,"Medium"
"Change the World One Mile at a Time with the Synergia App","Technology","Technology",11,"492","30000","failed","US",45,"Long"
"Talk & Sing M?ori for FREE","Technology","Software",6,"112","6076","failed","AU",45,"Long"
"DESIGN/BUILD No.1 - WALLET Rev. A","Design","Product Design",4,"118","4000","failed","US",30,"Medium"
"Bring the Family Matters project to life","Music","Music",0,"0","10500","failed","US",50,"Long"
"Men's Premium Leather Two Tone Leather Wallets RFID Safe","Fashion","Fashion",24,"1185","3867","failed","GB",30,"Medium"
"Grupo Arcano Launches 'Despegando'","Music","Music",103,"10770","10000","successful","US",10,"Short"
"Disaster Bird Records their Debut Full-Length Album!","Music","Indie Rock",103,"5394","4500","successful","US",31,"Long"
"New Musicals: PMTP's Shows for Summer 2012","Theater","Theater",25,"2540","2500","successful","US",55,"Long"
"It Won't Be You","Film & Video","Shorts",85,"6142","6033","successful","GB",17,"Medium"
"Who Cares About Kelsey?","Film & Video","Documentary",184,"20317","20000","successful","US",7,"Short"
"Spectacular POTA Icarus Model Kit READY for production","Crafts","Crafts",20,"7061","15000","failed","US",60,"Long"
"MFA Photography Thesis Show - Pink Noise","Art","Art",5,"600","600","successful","US",30,"Medium"
"Washington Irving Love Affair at The Alhambra Palace","Film & Video","Documentary",0,"0","20000","failed","US",30,"Medium"
"The Indian (Canceled)","Film & Video","Narrative Film",15,"1175","100000","canceled","US",40,"Long"
"XMODULE (Canceled)","Games","Video Games",55,"2065","43421","canceled","IE",21,"Medium"
"Lynda DeFuria's Brand Spankin' New EP!","Music","Pop",57,"3646","3500","successful","US",17,"Medium"
"Ovid","Art","Illustration",68,"9001","9000","successful","US",30,"Medium"
"Television show Jim McCue's Par 4 the Course","Film & Video","Film & Video",1,"10","4000","failed","US",30,"Medium"
"The Adventures of Celery Salt and The Wounded Trumpet","Music","Music",12,"360","350","successful","US",12,"Short"
"TheWrit (Black Sabbath Tributes)","Music","Rock",0,"0","20000","failed","US",35,"Long"
"In a space of one and a half bodies","Art","Installations",6,"145","119","successful","CA",30,"Medium"
"Infected Zombie RPG by Immersion Studios","Games","Tabletop Games",308,"12095","5472","successful","AU",30,"Medium"
"Very First Shoes for My Little One. Children shoes- COCOON","Fashion","Childrenswear",9,"358","30000","failed","US",21,"Medium"
"Tablin© do not be indifferent to the differentiated !","Design","Civic Design",0,"0","4810","failed","IT",30,"Medium"
"Don't Say Anything to Anybody: A German WWII Girlhood","Publishing","Nonfiction",80,"5673","3700","successful","US",36,"Long"
"Jade - Digital Art Print - Sized to fit IKEA Frames","Art","Digital Art",2,"6","306","failed","CA",27,"Medium"
"TRANSGENDER (LGBTQA) graphic prints on T-Shirt","Design","Graphic Design",12,"283","1000","failed","US",60,"Long"
"Counting Stars","Theater","Plays",1,"49","4888","failed","GB",30,"Medium"
"The Other Guy; a story about power, art and deception.","Film & Video","Film & Video",2,"6","5000","failed","US",30,"Medium"
"New Mexico Paintings 2014","Art","Painting",9,"1020","800","successful","US",30,"Medium"
"Completion of the 'Gallery of Kisses' Barcelona","Art","Public Art",2,"145","6031","failed","ES",24,"Medium"
"Music Video for Die To Yourself","Film & Video","Film & Video",1,"100","2500","failed","US",23,"Medium"
"New line of e-Raptor Storage Boxes","Games","Tabletop Games",22,"1607","5000","failed","US",30,"Medium"
"Shark Tanks Across America Season 1","Film & Video","Television",0,"0","12000","failed","US",40,"Long"
"Twenty-Nine BrewPub and Wood Fired Pizza","Food","Drinks",32,"2184","25000","failed","US",30,"Medium"
"Project Ex Nihilo","Technology","Apps",2,"42","40832","failed","GB",30,"Medium"
"Electric Drift Trikes by Super Trikes","Technology","Technology",3,"100","20000","failed","US",45,"Long"
"Madeleine","Film & Video","Film & Video",0,"0","12000","failed","US",30,"Medium"
"Rules and Regulations","Music","Rock",13,"551","500","successful","US",30,"Medium"
"The Master Truth project","Film & Video","Webseries",0,"0","400","failed","US",30,"Medium"
"Grapple Vegas Interactive Site and Apparel Line","Technology","Web",6,"215","10000","failed","US",40,"Long"
"La traviata - Oshawa Opera","Music","Classical Music",15,"450","438","successful","CA",32,"Long"
"Simple Wallet Plus","Fashion","Accessories",212,"10268","10000","successful","US",30,"Medium"
"Under The Bed Fred : A Childrens Book Series","Publishing","Children's Books",1,"10","2000","failed","US",60,"Long"
"The Fox Tarot by Fox on an Island","Art","Illustration",19,"2957","2829","successful","CA",30,"Medium"
"Aïz, la conscience du futur.","Music","Pop",17,"945","6014","failed","FR",45,"Long"
"Holy God, Holy Mighty, Holy Immortal, Have Mercy Upon Us","Film & Video","Shorts",23,"1137","700","successful","US",60,"Long"
"Hand D Handle","Technology","Gadgets",6,"360","10000","failed","US",30,"Medium"
"RVingVIP Maintenance Software","Technology","Software",1,"25","10000","failed","US",30,"Medium"
"Sounds of the Season Holiday CD","Music","Classical Music",93,"3876","3000","successful","US",30,"Medium"
"Swagger Bike Stand: stop leaning your bike","Design","Product Design",23,"1005","5500","failed","US",45,"Long"
"Catatakerus!","Design","Product Design",3,"60","1500","failed","US",30,"Medium"
"Antarctica 2011 Legacy Crossing","Film & Video","Documentary",82,"16519","15000","successful","US",30,"Medium"
"Krimston TWO - Dual SIM case for iPhone","Technology","Hardware",404,"105745","100000","successful","US",30,"Medium"
"Plug and Play dancing christmas lights","Technology","DIY Electronics",1,"1","5250","failed","US",60,"Long"
"Cities From The Sky","Photography","Photography",3,"30","5000","failed","US",15,"Medium"
"Tunes From the Tube: TV Theme Songs Live on Stage","Theater","Musical",0,"0","500","failed","US",40,"Long"
"100% Beeswax and Soy Handmade Candles","Crafts","Candles",0,"0","3100","failed","GB",30,"Medium"
"Aww, Fishsticks","Publishing","Children's Books",55,"5568","4500","successful","US",30,"Medium"
"Busta' Nutcracker- A XXXmas Story","Theater","Theater",55,"2801","2500","successful","US",35,"Long"
"PaperLike - Make iPad Pro feel like writing on Paper","Design","Product Design",1914,"49059","1811","successful","DE",45,"Long"
"Montgomery Music Festival","Music","Metal",2,"10","150000","failed","US",30,"Medium"
"Minions and Heroes","Games","Tabletop Games",16,"845","11000","failed","US",30,"Medium"
"Welcome to Finch Corners","Comics","Comics",19,"856","5000","failed","US",30,"Medium"
"Survivorland #1","Comics","Comic Books",51,"1800","1267","successful","CA",30,"Medium"
"The Fantasist","Publishing","Fiction",21,"842","2000","failed","US",30,"Medium"
"Life After Rape","Film & Video","Film & Video",0,"0","197474","failed","GB",26,"Medium"
"Promotion for The London sessions by Tommi Waring","Music","Indie Rock",1,"48","1500","failed","US",21,"Medium"
"Steampunk Inspired Jewelry One Of A Kind Handmade Pieces","Fashion","Jewelry",13,"540","1000","failed","US",30,"Medium"
"GolfJam Television: Livin' The Dream pilot episode","Film & Video","Webseries",19,"1002","25000","failed","US",33,"Long"
"100 mini-tapestries (on a functional loom!)","Crafts","Weaving",114,"5588","600","successful","US",30,"Medium"
"Save Our Soda Kiln!","Art","Ceramics",117,"12577","11652","successful","US",30,"Medium"
"Blue Tears ","Film & Video","Shorts",33,"3550","3500","successful","US",30,"Medium"
"Butch Cassidy's Dry gulch","Film & Video","Shorts",7,"902","3000","failed","US",60,"Long"
"South Park, The Washington Redskins Company (Suspended)","Film & Video","Comedy",2,"22","1000","suspended","US",30,"Medium"
"Average Girl: A Guide to Loving Your Body ~ The Book","Publishing","Art Books",42,"1942","4168","failed","CA",31,"Long"
"The Great Calabria CookBook","Food","Food",2,"76","88770","failed","IT",44,"Long"
"STRAIGHT EDGE KEGGER: The Movie","Film & Video","Horror",90,"15511","14995","successful","US",20,"Medium"
"WEAR something WORTH WEARING!!","Fashion","Apparel",1,"1","44000","failed","US",21,"Medium"
"Game of Thrones House Dice","Games","Tabletop Games",9,"143","254","canceled","NL",30,"Medium"
"3D Printed Guillotine Project for Zuckerman Museum of Art","Art","Sculpture",40,"1708","4500","failed","US",25,"Medium"
"Smartphone Workout Shorts. Better Than Armbands.","Fashion","Apparel",929,"64563","50000","successful","US",30,"Medium"
"Pursu. Passion. Career.","Technology","Technology",2,"153","52000","failed","US",16,"Medium"
"Columbia Nights' New Album: In All Things","Music","Music",0,"3515","3000","undefined","NA",38,"Long"
"Edinburgh Fringe Tour of Two Modern Classics","Theater","Festivals",17,"4989","4986","successful","GB",30,"Medium"
"The Essential W.S. Merwin","Publishing","Poetry",430,"57124","50000","successful","US",34,"Long"
"Ram's Apprentice: One Year Challenge","Film & Video","Documentary",9,"869","15000","failed","US",30,"Medium"
"The Military Moms Food Truck","Food","Food Trucks",38,"3390","60000","failed","US",30,"Medium"
"Decided Books - the next step in crowdfunding books","Publishing","Publishing",1,"121","132127","failed","GB",29,"Medium"
"Detroit Hockey Co.","Design","Design",4,"125","2500","failed","US",26,"Medium"
"The Steam Engines of Oz original graphic novel","Comics","Comics",243,"11664","7500","successful","US",45,"Long"
"The Worlds Largest Flea Market","Art","Mixed Media",0,"0","23410","failed","CA",49,"Long"
"The Chance Brothers Debut Album","Music","Indie Rock",30,"2201","2000","successful","US",90,"Long"
"Electronic Dance Music Radio in SLC","Music","Electronic Music",0,"0","15000","failed","US",23,"Medium"
"A Search for Heartbreaking Beauty","Photography","Photography",142,"10005","10000","successful","US",30,"Medium"
"DevRight's Implant World Cup- The Movie","Film & Video","Shorts",19,"5795","17500","failed","US",31,"Long"
"Short Film Spectrophobia","Film & Video","Shorts",2,"35","5000","failed","US",24,"Medium"
"Placeon - the best place for your phone at any indoor!","Design","Product Design",228,"13599","3000","canceled","US",30,"Medium"
"Quake[ing] in the Woods: Home[s] by a Lake","Film & Video","Shorts",2,"35","750","failed","US",60,"Long"
"Absolution - A CSUN Senior Thesis Production","Film & Video","Narrative Film",52,"2985","2000","successful","US",30,"Medium"
"AUNT","Film & Video","Documentary",1,"20","2000","failed","US",30,"Medium"
"The New How-To","Film & Video","Webseries",2,"550","2500","failed","US",90,"Long"
"Hunger","Film & Video","Shorts",10,"918","900","successful","GB",30,"Medium"
"BLINDSIDE","Comics","Comics",97,"10275","10000","successful","US",40,"Long"
"Le Cordon Bleu Paris","Food","Food",163,"12127","36000","failed","US",30,"Medium"
"#BeYou Extravaganza","Design","Civic Design",9,"282","30000","failed","US",30,"Medium"
"F(r)iction #7 - A Fine Art & Literature Collection","Publishing","Publishing",119,"4424","3000","successful","US",30,"Medium"
"Summer Rec Pilot Episode","Film & Video","Animation",35,"2346","7500","failed","US",30,"Medium"
"Rowan Fly Fishing","Design","Product Design",12,"2162","40000","failed","US",30,"Medium"
"Zombie Apocalypse Survival Kits","Games","Games",3,"35","1250","failed","US",30,"Medium"
"Cafe Cubano Bean House","Food","Drinks",0,"0","1405","failed","NZ",7,"Short"
"Meringues: Light & Airy Sweet Confections (Canceled)","Food","Small Batch",8,"400","1000","canceled","US",30,"Medium"
"Die Cut Python Stickers","Art","Illustration",30,"158","200","failed","US",30,"Medium"
"The Waiter's Revenge (Canceled)","Games","Mobile Games",28,"358","12177","canceled","CA",30,"Medium"
"Cosimo Tucci: Just Talking","Film & Video","Documentary",32,"3422","3402","successful","CA",30,"Medium"
"Cotton Candy Lover Pin","Crafts","Crafts",2,"25","355","failed","US",30,"Medium"
"Cryptid Command: Bigfoot Nessie UFO/Aliens Embroidered Patch","Art","Art",213,"6685","2300","successful","US",30,"Medium"
"Peyote by Pooper on compact disc and vinyl.","Music","Electronic Music",27,"769","8000","failed","US",30,"Medium"
"The Vashon Eye - Cascadia News Journal","Journalism","Print",2,"45","3000","failed","US",30,"Medium"
"Play for a Living: A Coffee-Table Book for Your Inner Genius","Publishing","Art Books",404,"35936","10000","successful","US",30,"Medium"
"Primo: the beautiful, colorful, mathematical board game","Games","Tabletop Games",1644,"79745","25000","successful","US",29,"Medium"
"Gaming/Vlogs/Music/Art : YOUTUBE CHANNEL","Film & Video","Comedy",0,"0","2000","live","US",90,"Long"
"Danny M. Diaz Lessons In Music Album of Originals","Music","Jazz",9,"495","11000","canceled","US",45,"Long"
"The Sensational G-Girl Comics Magazine","Comics","Comics",7,"105","5000","failed","US",30,"Medium"
"Lauren Riley Debut Album","Music","Country & Folk",66,"8149","8000","successful","US",30,"Medium"
"ShaiShanell Debut CD","Music","Faith",2,"6","5000","failed","US",16,"Medium"
"Lola Victoria Magic Bags (Canceled)","Fashion","Fashion",1,"116","21178","canceled","GB",30,"Medium"
"Dead Tree Duo's first full length album! Let's make it!","Music","Rock",32,"2826","2750","successful","US",30,"Medium"
"Wonderful Photos of Cincinnati","Photography","Nature",0,"0","800","failed","US",30,"Medium"
"Beer Fest: The Board Game (Canceled)","Games","Tabletop Games",9,"312","20000","canceled","US",45,"Long"
"KEEKS...Helping to Build Self Esteem for our Girls!","Fashion","Fashion",0,"0","18000","failed","US",21,"Medium"
"Bathtub spout adapter for easy showering. Watch Video.","Design","Product Design",65,"3509","83000","canceled","US",30,"Medium"
"SPREAD AWARENESS-INSPIRE SUPPORT-ENCOURAGE ACTION","Art","Mixed Media",0,"0","250","failed","US",30,"Medium"
"Kite","Technology","Web",1,"8","46030","failed","GB",26,"Medium"
"Marble Watches inspired by Scandinavian Styling","Design","Product Design",29,"5430","4854","canceled","AU",60,"Long"
"Long List Anthology","Comics","Anthologies",416,"8474","1250","successful","US",17,"Medium"
"Master Me! - Atticus Kain Project","Music","Music",2,"34","10000","failed","US",30,"Medium"
"Ashworth EP","Music","Rock",4,"260","2400","failed","US",25,"Medium"
"Be a part of The Happy Hippo Family!","Music","Pop",117,"1285","1211","successful","SE",77,"Long"
"Doctor Moreau and the Man Who Was Going Nowhere","Theater","Theater",39,"2390","2200","successful","US",30,"Medium"
"Seven Days in Haiti - Faces of the New Haiti","Film & Video","Film & Video",0,"0","5700","failed","US",30,"Medium"
"Original Theatre in Green Bay","Theater","Theater",25,"1102","5000","failed","US",26,"Medium"
"The Fiddler: Short Film","Film & Video","Shorts",65,"8183","8000","successful","US",29,"Medium"
"Daddy's Girl 99","Film & Video","Shorts",107,"15293","15000","successful","US",30,"Medium"
"Dusty PlayGround","Photography","Photobooks",448,"47776","40000","successful","US",25,"Medium"
"Sunshine and Rain : A Short Film","Film & Video","Narrative Film",33,"3123","2500","successful","US",30,"Medium"
"Build Belham Apothecary: Help Us Open Our Storefront!","Crafts","Crafts",10,"355","5000","canceled","US",30,"Medium"
"hindsight - a periodical, pictorial review of our urban past","Publishing","Periodicals",106,"11552","11068","successful","CA",19,"Medium"
"Civil War musical~1st Minnesota regiment at Gettysburg","Music","Music",9,"301","4500","failed","US",30,"Medium"
"ARTICA","Art","Art",2,"28","50000","failed","US",24,"Medium"
"Cooking with verjuice at home","Food","Cookbooks",5,"117","583","failed","GB",30,"Medium"
"Belchville, VT Volume One","Comics","Graphic Novels",95,"2242","2000","successful","US",30,"Medium"
"Past Life Regression To Contact Paul the Apostle","Film & Video","Documentary",0,"0","585","failed","US",30,"Medium"
"My Bi-Polar Life A Fiction Novel Based On Real Life","Publishing","Fiction",2,"76","1389","failed","CA",60,"Long"
"THE EPIPHANY","Technology","Fabrication Tools",2,"125","10000","failed","US",25,"Medium"
"Move to the feet vol2","Music","Electronic Music",0,"0","60215","failed","DE",31,"Long"
"The Crucible (Film)","Film & Video","Webseries",1,"5","15000","failed","US",30,"Medium"
"1Sheeld: Replace your Arduino shields with your smartphone!","Technology","DIY Electronics",1480,"85210","10000","successful","US",29,"Medium"
"Piece by Piece","Music","Classical Music",50,"3580","3500","successful","US",31,"Long"
"Darkrock Ventures - Asteroid Mining in Deep Space Board Game","Games","Tabletop Games",963,"56624","25000","successful","US",30,"Medium"
"ART CALENDAR: IN HER EYES: DEEP WINTER IN SIBERIA","Photography","Places",1,"105","5000","failed","US",40,"Long"
"Bless His Soul - Songs for the King","Music","Country & Folk",0,"0","8000","failed","US",24,"Medium"
"Nekoh?mu","Design","Product Design",37,"1111","3695","failed","ES",30,"Medium"
"4k Gunplay: Muzzle Flashes for Next Generation Filmmaking","Film & Video","Film & Video",0,"0","4490","canceled","US",31,"Long"
"UnderDogs Racing","Technology","Technology",0,"0","1000","failed","US",30,"Medium"
"Manifest Destiny: A Search for U.S. (A Travelogue Film)","Film & Video","Documentary",59,"3572","6500","failed","US",30,"Medium"
"The Runts - Limited Edition Screen Printed Art","Art","Illustration",22,"1078","9612","failed","GB",31,"Long"
"The Mighty Dog","Food","Food",4,"113","5904","failed","GB",35,"Long"
"Hollytown. Talent Agency. Retro Card Game. (Canceled)","Games","Tabletop Games",16,"353","6600","canceled","US",35,"Long"
"DistractaGone - Find Focus Fast","Technology","Gadgets",565,"36004","47028","failed","NL",41,"Long"
"Redneck Assassin","Games","Mobile Games",23,"410","5","successful","US",30,"Medium"
"Super Kawaii Turtle Fighter","Games","Video Games",42,"1254","750","successful","US",41,"Long"
"Bakin' Bakery Food Truck","Food","Bacon",234,"28092","27000","successful","US",31,"Long"
"Riot! An Anti-Hero Serial","Film & Video","Webseries",17,"2000","1500","successful","US",19,"Medium"
"Foreign To Myself","Theater","Theater",112,"12100","9000","successful","US",30,"Medium"
"Alexis Ohanian Speaks At Creative Bytes - London April 2014","Technology","Technology",8,"2360","82745","canceled","GB",60,"Long"
"Heart Weight Plate","Design","Product Design",35,"1740","6000","live","US",30,"Medium"
"Kitty's Secret Activities Memoir","Art","Conceptual Art",0,"0","1000000","live","US",36,"Long"
"Hello, Dollface new record WANTS to BE HEARD and Distributed","Music","Pop",39,"10025","10000","successful","US",30,"Medium"
"Iggy's Egg Adventure","Games","Video Games",37,"2683","50000","failed","US",21,"Medium"
"Abomination: Evolution's Son (Canceled)","Comics","Webcomics",0,"0","99000","canceled","US",30,"Medium"
"14 Sept - 6 Oct 2013: 'The Idiot at the Wall' Scottish Tour","Theater","Theater",62,"3991","2884","successful","GB",30,"Medium"
"Drone de ala fija para vigilancia de incendios todo tiempo","Technology","Flight",0,"0","26216","live","ES",30,"Medium"
"Easy workplanner (Show my workload)","Technology","Web",6,"29","6780","failed","BE",30,"Medium"
"Last Year's Man","Film & Video","Film & Video",8,"430","2500","failed","US",30,"Medium"
"Dead Wizard's Society An epic of occult proportions.","Comics","Comics",3,"52","5000","failed","US",60,"Long"
"Tutel Mobile App for Parents","Technology","Apps",0,"0","2500","failed","US",30,"Medium"
"Cancer Plus 1","Film & Video","Documentary",1,"5","45000","failed","US",30,"Medium"
"Slate&Stylus: Origami Slate case for the iPad","Design","Product Design",207,"7913","5000","successful","US",39,"Long"
"Behind The Razor Wire","Film & Video","Documentary",3,"299","2490","failed","AU",35,"Long"
"Lenzindex","Technology","Camera Equipment",42,"2001","4209","failed","GB",30,"Medium"
"Coronary: Episode One","Comics","Comic Books",224,"5219","5000","successful","US",9,"Short"
"MLR // Sterling Silver Jewellery - Handmade in Melbourne","Fashion","Jewelry",3,"97","7202","failed","AU",30,"Medium"
"Workbooks  Pocket notebooks for creatives.","Design","Design",43,"465","979","failed","NZ",30,"Medium"
"Samurai Lone Wolf","Comics","Comics",44,"3678","300000","failed","US",35,"Long"
"Tractor Needed!- Providing Healthy Food, Farm Education!","Food","Food",213,"18871","15000","successful","US",30,"Medium"
"Bushcraft EDC Tools, Handmade Every Day Carry Adventure Gear","Crafts","Crafts",8,"1449","1177","successful","CA",26,"Medium"
"Blade of Prophecy","Publishing","Fiction",0,"0","10000","failed","US",20,"Medium"
"Carving My Path: Back to Zimbabwe","Film & Video","Documentary",74,"7561","5000","successful","US",30,"Medium"
"daisyjean cupcakes","Food","Food",9,"380","4500","failed","US",30,"Medium"
"An alternative way to share and backup your memories","Technology","Apps",1,"1","5000","failed","US",30,"Medium"
"American Shoal Archaeology Project (ASAP), 2016 Season","Film & Video","Documentary",0,"0","50000","canceled","US",36,"Long"
"Dreamcatcher Comics","Comics","Comic Books",2,"8","4025","failed","GB",20,"Medium"
"HomieCat Danish design.......NEW Sleeping spot for your cat","Design","Product Design",12,"90","11903","failed","DK",30,"Medium"
"Venture","Games","Video Games",2,"20","10000","failed","US",30,"Medium"
"RN estudio Reapers Fantasy Football Team","Games","Games",93,"8696","1271","successful","ES",30,"Medium"
"Broad Street Joggers by Pure Reckless Clothing","Fashion","Apparel",18,"768","5000","failed","US",60,"Long"
"Outdoor Games","Games","Live Games",6,"16","1102","failed","DK",20,"Medium"
"Allison Jolley - deluxe coffee table book","Publishing","Art Books",11,"915","2300","failed","US",30,"Medium"
"Eilmeldung: Terroranschlag","Publishing","Young Adult",1,"1","10436","failed","DE",49,"Long"
"Help me Learn About my Culture's Cuisine","Food","Restaurants",1,"20","5000","failed","US",27,"Medium"
"Dance the Past Into the Future","Film & Video","Documentary",63,"6577","6480","successful","US",30,"Medium"
"By My Hand - A Short Film","Film & Video","Shorts",33,"10668","10000","successful","US",30,"Medium"
"The Yogi Residency","Publishing","Nonfiction",1,"10","2000","failed","US",30,"Medium"
"Light up LED Hula Hoops that are feather light and sectional","Technology","Technology",1,"10","1250","failed","US",30,"Medium"
"Margaret by Jason Webley and friends","Music","Music",1862,"67653","11111","successful","US",31,"Long"
"A Letter From My Ferret","Publishing","Publishing",82,"5910","5000","successful","US",16,"Medium"
"make; coffee","Food","Food Trucks",170,"23232","21571","successful","GB",20,"Medium"
"Blinkin Studios Games","Games","Video Games",4,"350","350","successful","US",60,"Long"
"Silver Arrow, Luxury playing cards by Jackson Robinson","Games","Playing Cards",484,"18826","50000","canceled","US",20,"Medium"
"GYM - thegymgame","Music","Music",51,"420","181101","failed","IT",36,"Long"
"Dead Tweets Society: Twitter Prints, Calendars and More!","Design","Product Design",2,"30","1976","failed","GB",34,"Long"
"The Cleveland Project","Music","Rock",4,"501","500","successful","US",30,"Medium"
"Blindspot Initiative","Art","Mixed Media",115,"10941","10000","successful","US",60,"Long"
"Glam Store - Handcrafted Jewelry & Accessories (Canceled)","Fashion","Jewelry",0,"0","882","canceled","CA",34,"Long"
"EngineStat - Invisible diagnostics for your classic's engine","Technology","Hardware",13,"5398","5000","successful","US",30,"Medium"
"Salvation","Publishing","Fiction",2,"210","2500","failed","US",37,"Long"
"White Ribbon Day Refuge Album Project","Music","Indie Rock",83,"10146","10000","successful","US",30,"Medium"
"The Death of Radio Bandido: A Chicano Mystery","Film & Video","Documentary",155,"9140","22000","failed","US",30,"Medium"
"CAPTURING MOMENTS IN TIME (Canceled)","Publishing","Art Books",0,"0","10153","canceled","GB",30,"Medium"
"Mad Broker: The Bible Of The Broker","Publishing","Publishing",0,"0","56","failed","MX",30,"Medium"
"Buried a crime novel","Publishing","Fiction",14,"125","50","successful","US",30,"Medium"
"EXUVIAE: Relics of House Dragonfly","Games","Tabletop Games",293,"7183","2935","successful","GB",25,"Medium"
"THE HAM TONER brand  Train your backside, Outside","Design","Product Design",1,"279","10000","failed","US",35,"Long"
"Go East","Journalism","Journalism",5,"200","10000","failed","US",60,"Long"
"Go! Go! Second Time Gaijin","Film & Video","Comedy",22,"2650","12000","failed","US",30,"Medium"
"From Home to Houston","Food","Small Batch",0,"0","15000","failed","US",30,"Medium"
"B¬NG´s first album. Help me make it perfect. (Canceled)","Music","Hip-Hop",0,"0","4933","canceled","AT",30,"Medium"
"CocoBurg: raw, vegan, gluten-free, soy-free coconut jerky","Food","Vegan",515,"13403","10000","successful","US",30,"Medium"
"Clay Montana, Is it the water?","Film & Video","Documentary",23,"2179","19000","failed","US",39,"Long"
"Paying Rent- The Journey of a Full Time Musician","Music","Music",0,"390","5000","failed","NA",60,"Long"
"Music video for famous rock band with Hollywood star as lead","Film & Video","Film & Video",0,"0","10000","failed","US",30,"Medium"
